"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"ASHG19AP1B100009440V5"	2.7037127	2.33273	2.466728	2.3339167	2.3352275	2.3326864	2.3327425	2.3301988	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009442V5"	2.7037127	2.33273	2.466728	2.3339167	2.3352275	2.4965348	2.3539305	2.3488853	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.624437
"ASHG19AP1B100009445V5"	5.547441	6.465136	5.7493997	5.902494	6.509755	6.4077134	6.426794	6.4430623	6.0781994	6.379657	5.0120173	4.1615024	4.919517	5.079686	6.235156
"ASHG19AP1B100009446V5"	15.526837	16.43125	16.931812	17.034704	16.82163	14.596083	14.887412	15.738103	15.238119	16.07661	13.874671	14.2196245	13.291213	13.778247	14.436938
"ASHG19AP1B100009447V5"	4.724211	4.7720075	4.0687237	4.269683	4.983747	5.30843	4.9054656	5.0273113	5.347664	5.200812	5.014927	5.0662217	4.7875857	4.501345	5.0880103
"ASHG19AP1B100009448V5"	12.749452	12.504404	12.47133	12.436752	12.11854	11.6191	11.722896	11.347556	11.831606	11.596146	12.352948	12.40422	12.517198	12.259846	11.405044
"ASHG19AP1B100009449V5"	4.0997434	3.8951757	3.9663417	4.4704995	4.3241677	4.446403	4.906325	4.447831	4.358903	5.3509135	2.814921	2.745772	4.367686	4.0690794	4.790117
"ASHG19AP1B100009594V5"	2.7037127	2.33273	2.466728	2.3339167	2.3352275	2.3326864	2.3327425	2.523806	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009595V5"	5.2324357	3.88874	2.466728	2.5919592	4.649335	2.8421724	2.7267165	3.2117455	3.2956195	3.1454968	4.5773363	4.446302	4.907837	4.123477	2.5961442
"ASHG19AP1B100009597V5"	5.7011843	5.097831	5.686715	5.339458	4.8327804	5.7878733	6.1642632	6.276688	5.8295684	5.8002176	5.9413967	5.4109507	6.8339972	6.3923645	7.080677
"ASHG19AP1B100009598V5"	10.845488	7.2722077	6.2737164	6.636527	7.3809686	7.8426785	7.8462873	7.7400947	8.426446	7.4681306	8.133436	8.803703	8.850972	8.578884	7.750138
"ASHG19AP1B100009607V5"	4.1912594	2.33273	2.466728	2.540915	2.3352275	2.3326864	2.8530254	2.3331249	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009610V5"	5.199721	5.472354	5.606759	5.6241136	4.8411036	6.5432014	6.651412	6.007066	6.438683	6.016065	6.158148	6.987499	6.8844953	6.7247567	7.3090982
"ASHG19AP1B100009635V5"	5.905189	6.3425837	6.534497	6.857726	6.878963	4.7379346	5.106299	4.605485	4.562689	5.5101666	4.5522275	2.745772	2.6201525	2.7479913	4.271617
"ASHG19AP1B100009656V5"	3.5541053	2.33273	2.466728	2.387204	2.3352275	2.3326864	2.3829765	2.334528	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009657V5"	10.873478	8.522489	7.2687516	7.161984	8.19968	12.075339	12.274596	11.423979	11.710769	10.7181835	12.117091	12.403488	12.413655	12.311909	12.435466
"ASHG19AP1B100009658V5"	15.193905	12.834892	11.0745945	10.870516	12.950971	15.121361	15.128291	14.892425	14.8077	15.177757	14.502323	14.615864	14.312046	14.553993	15.096197
"ASHG19AP1B100009659V5"	2.7037127	2.33273	2.466728	2.3339167	2.3352275	2.3326864	2.6652887	2.3345594	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.3792377
"ASHG19AP1B100009660V5"	8.695242	9.175577	8.263837	8.233998	9.461212	9.851096	10.213829	9.825725	9.641442	9.643492	9.301362	9.472338	9.862492	9.549756	10.203809
"ASHG19AP1B100009661V5"	2.7037127	2.33273	2.466728	2.3339167	2.3352275	2.3326864	2.3327425	2.7313366	2.3392348	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100009662V5"	15.156473	16.59436	16.755713	16.764877	16.726322	15.854662	15.9287615	16.144196	16.054611	16.243223	15.620077	15.810797	15.741063	15.661071	15.998148
"ASHG19AP1B100009664V5"	12.269331	14.12179	14.182289	14.321977	14.638995	10.2664585	11.175337	11.650614	10.25029	11.087447	10.790317	9.904656	9.982045	10.490842	10.597591
"ASHG19AP1B100009665V5"	2.7037127	3.9731476	3.9300225	4.041734	3.9955266	3.1727824	3.4003932	2.8347862	3.123033	3.1456857	2.814921	3.5707664	3.98655	2.7479913	3.5099866
